Countries,Population,Annual GDP (M.€.),Annual GDP (M.$.),GDP per capita (€),GDP per capita.1 ($),HDI,Debt (M.€.),Debt ($M),Debt (%GDP),Deficit (%GDP),Refugees in thousands,Distance from Ukraine in km
Austria,8978929.0,406149.0,477084.0,45370.0,53332.0,0.922,334162.0,395121.0,82.3,5.9,8308.0,1239.0
Belgium,11631136.0,502312.0,599107.0,43340.0,51849.0,0.931,548488.0,649405.0,109.2,5.6,5616.0,1934.0
Bulgaria,6838937.0,71077.0,80327.0,10330.0,11746.0,0.816,17010.0,19143.0,23.9,3.9,13616.0,767.0
Croatia,3879074.0,57200.0,67707.0,14750.0,17454.0,0.851,45743.0,54026.0,78.4,2.6,185.0,1267.0
Cyprus,904705.0,24019.0,27738.0,26680.0,30957.0,0.887,24271.0,28725.0,101.0,1.7,1679.0,1485.0
Czechia,10516707.0,238238.0,281778.0,22270.0,26849.0,0.9,103260.0,118395.0,42.0,5.1,44226.0,1151.0
Denmark,5873420.0,336719.0,398303.0,57520.0,68202.0,0.94,123315.0,145899.0,36.6,3.6,335.0,1703.0
Estonia,1331796.0,31445.0,37216.0,22580.0,27962.0,0.892,5534.0,6551.0,17.6,2.4,3597.0,1205.0
Finland,5548241.0,251367.0,297575.0,45360.0,53774.0,0.938,181920.0,196952.0,72.4,2.7,4079.0,1544.0
France,67842582.0,2500870.0,2957425.0,36660.0,45188.0,0.901,2821899.0,3329379.0,112.8,6.5,105.0,2183.0
Germany,83237124.0,3601750.0,4262767.0,43290.0,51238.0,0.947,2471628.0,2968690.0,68.6,3.7,70915.0,1514.0
Greece,10603810.0,181675.0,216384.0,17010.0,20263.0,0.888,353434.0,431474.0,194.5,7.5,1941.0,1276.0
Hungary,9689010.0,153759.0,182281.0,15840.0,18732.0,0.854,114715.0,139916.0,76.8,7.1,30.0,881.0
Ireland,5060005.0,426283.0,504517.0,84940.0,100129.0,0.955,236073.0,279136.0,55.4,1.7,5483.0,2783.0
Italy,58983122.0,1782050.0,2101275.0,30150.0,35625.0,0.892,2678098.0,3169955.0,150.3,7.2,15761.0,1623.0
Latvia,1875757.0,33696.0,38898.0,17890.0,20546.0,0.866,14688.0,17775.0,43.6,7.0,4091.0,1043.0
Netherlands,17590672.0,856356.0,1013520.0,48840.0,57997.0,0.944,449026.0,530350.0,52.4,2.6,7925.0,1875.0
Poland,37654247.0,574772.0,679067.0,15060.0,17946.0,0.88,306837.0,365276.0,53.8,1.8,142248.0,941.0
Portugal,10352042.0,214471.0,250055.0,20840.0,24296.0,0.864,269250.0,318643.0,125.5,2.9,5288.0,3270.0
Romania,19038098.0,240154.0,284086.0,12560.0,14795.0,0.828,116695.0,145994.0,48.9,7.1,6706.0,541.0
Slovakia,5434712.0,98523.0,114947.0,18110.0,21053.0,0.86,61267.0,72501.0,62.2,5.5,9614.0,844.0
Slovenia,2107180.0,52208.0,61790.0,24770.0,29298.0,0.917,38877.0,45990.0,74.5,4.7,777.0,1243.0
Spain,47432805.0,1206842.0,1426224.0,25500.0,30090.0,0.904,1427238.0,1690788.0,118.3,6.87,14584.0,2880.0
Sweden,10452326.0,537310.0,635664.0,51590.0,60816.0,0.945,193253.0,227749.0,36.3,0.1,4624.0,1533.0
